> -L"central america"
-106.687787126	21.5876159032
-106.336160289	20.9880820946
-106.231183512	20.0692898653
-105.791209592	19.2277107755
-104.662488733	18.3059494503
-103.055006296	17.487620249
-101.636636393	16.9226816919
-100.324630262	16.2963784753
-98.7462200809	15.8133274778
-97.6807438155	15.4538007732
-96.596739605	15.1570028546
-95.760877007	15.0743093103
-94.9134919584	14.7571712774
-93.2701214197	13.6674919616
-91.4939733744	12.9736230701
-89.4490665662	12.0166805002
-88.110258988	11.5777643553
-86.7245618743	10.4050052842
-85.7414931072	9.19194657232
-83.8600852638	8.27460884031
-82.5901219051	7.15211022485
-81.0927750095	6.73657553564
-80.2119385068	6.85643665327
-79.1897223133	7.2521055078
-78.243347938	7.27643519509
> -L"south sandwich islands"
-28.4457522452	-54.9875273288
-26.9644496772	-55.3037863232
-25.6702798286	-55.7846414839
-24.7872678228	-56.5818709306
-24.1831167166	-57.2964472258
-23.8875066314	-58.266340245
-24.1895768927	-59.2677719255
-24.9405806011	-59.838964248
-26.1084177046	-60.3850718785
> -L"japan"
163.705749537	55.3852139253
161.967043388	53.1917241044
160.911968436	51.8116281698
158.00282763	49.4274402017
155.566855655	47.4659789435
153.347807745	45.5045841546
150.876697612	44.1091338347
146.966564512	42.0933191015
144.513702035	41.0558960945
144.404708097	40.1369869402
144.297522662	38.1629325781
143.475402588	37.0688179039
142.710634936	35.3061303714
141.866256702	34.5493840966
142.219515983	32.5842982594
142.202983671	30.5948010553
142.742538804	29.2151741939
143.318447735	26.7309173189
143.102053459	24.8445389804
144.412694295	23.2621852634
146.288080591	21.898552498
147.394115815	19.8776062669
148.211064923	16.4104574408
146.741777181	13.7773273146
144.459425806	11.7170582651
141.104774574	10.6696182022
139.493515821	11.0214212342
> -L"south america ex chile"
-77.861944471	6.23673654172
-77.9443916414	4.91654998881
-79.0599757364	3.25919965644
-80.0630869341	1.90728626202
-80.9408385366	0.285721142931
-81.4439282317	-1.97847939996
-81.864091699	-5.02538210453
-81.759210832	-6.26992351514
-80.7844795606	-8.81587723362
-79.9753021464	-10.8053195426
-78.7907150237	-12.4613953349
-77.3219896222	-14.2289478216
-75.9847616367	-15.8730200127
-74.5329100994	-16.9881098996
-73.1294428628	-18.0061456538
-71.8430483176	-19.3017339756
-71.4354241753	-21.0644917652
-71.4081762835	-23.6388247404
-71.5402983349	-25.7519170871
-71.9965227968	-27.2876721796
-72.3974357142	-28.9415316531
-72.5412808046	-31.1053220888
-72.9506076947	-33.2087365684
> -L"pacific islands"
-173.359949651	-14.6864389946
-172.431824476	-15.2726193833
-172.169281952	-16.6612182389
-172.75245559	-18.7226213065
-173.729017916	-21.468777581
-174.626665678	-23.2507920998
-175.219750222	-24.49978304
-175.426433709	-27.1601546789
-176.381410473	-29.9206805075
-177.740739247	-32.6499132987
-178.543245804	-34.8846726438
-179.740653241	-37.0025175689
178.962989266	-39.499898838
178.47282672	-40.6368321671
177.702586438	-41.435552465
175.154420687	-42.0358636544
> -L"east australia"
156.601908892	-8.77116505814
157.785846265	-9.07041738455
159.665574662	-9.82684811905
160.262389272	-10.2903556408
161.389120979	-11.2013876011
162.24059117	-11.3437043056
164.639506834	-10.98556255
165.507570933	-11.2713456904
165.911852739	-12.6895373028
166.218297664	-14.8282959319
166.140165691	-16.0366180378
167.205518252	-17.459237942
167.829867926	-18.9369484797
168.460332879	-20.9773151903
169.22006379	-22.1447232167
170.480503333	-22.8560428985
172.462025741	-23.185657936
> -L"chile south"
-74.5817273564	-54.7267877814
-73.7247488692	-55.2945539536
-72.2359865199	-55.96407955
-70.2327480949	-56.6723228904
-67.8782236757	-57.1730504441
> -L"luzon"
120.509365165	21.6774330363
120.357294185	20.8639744395
120.402130856	20.1935241649
120.321996787	19.2984924009
119.690735197	18.5665953982
119.217904411	17.7394891391
119.304204457	16.2879393838
119.158330007	14.8847460572
119.158542315	13.8647984545
119.702743531	13.242298427
> -L"mindanao"
124.839297567	14.4260200014
125.325776181	13.4822325959
125.966999768	12.4395678661
126.388926292	11.1128688349
126.840674956	9.39000126871
127.150783691	7.76517581355
127.362933158	5.9150408841
127.933253082	5.18481327429
128.810130316	3.51691703774
129.26315196	2.39130193532
129.0512315	1.38020319212
> -L"ryukyu"
124.17712307	23.2911523626
125.74212362	23.3716810974
126.823686196	24.0791874051
128.103262644	25.0804534675
129.143403075	25.7035743625
129.857956343	26.6687322546
130.453354822	27.4490213766
130.719874828	28.0476407455
131.466151483	28.5846825742
132.022860611	29.5376490523
132.730152511	30.2496136692
132.87937463	30.7267452798
