eventname	origintime	hyplon	hyplat	hypdepth (km)	mw	network	station	stlon	stlat	stelev	hypdist	duration_e	duration_n	duration_horiz	pga	pgv	tPGV_origin	tPGV_parriv	tPGA_origin	tPGA_parriv	polygon	ask14	sk13	z16	ask14_dE	ask14_dE_std	ask14_dS	ask14_dS_std	ask14_dPol	ask14_dPol_std	ask14_dP	sk13_dE	sk13_dE_std	sk13_dS	sk13_dS_std	sk13_dPol	sk13_dPol_std	sk13_dP	z16_dE	z16_dE_std	z16_dS	z16_dS_std	z16_dPol	z16_dPol_std	z16_dP
481	2020/10/12T4:11:27.9	26.2926	35.6319	8	5.2	HT	AGG	22.336	39.0211	625	514.2129185	60	60	60	0.000105483	1.02E-05	-1264240.58	-1264249.782	-1264240.73	-1264249.932	1	-1.267518826	-1.250905424	-1.819302765	-0.610439738	0.103953817	-0.224912951	0.206388664	-0.121445062	0.10801017	-0.294772927	-0.500548741	0.100412146	-0.375815447	0.197332842	-0.178695094	0.099378435	-0.280447681	1.103181701	0.110680821	-0.316543242	0.19991724	-0.13043653	0.110764729	-0.278885203
127	2020/4/11T10:22:55.6	26.1795	35.2176	21	4.8	HT	ALN	26.046	40.885	110	629.5311206	60	60	60	1.65E-05	9.92E-07	-17139512.12	-17139521.32	-17139537.09	-17139546.29	1	-1.345982801	-1.409882379	-2.412803217	-0.225334057	0.110173683	-1.160323788	0.266403882	-0.121445062	0.10801017	0.177068253	-0.112820926	0.106491447	-1.33916597	0.255257095	-0.178695094	0.099378435	0.136198073	1.008544521	0.116456224	-1.229203137	0.258292723	-0.13043653	0.110764729	0.134911419
150	2020/5/2T12:51:9.2	25.6915	34.4366	9	6	HT	ALN	26.046	40.885	110	716.4494411	60	60	60	3.73E-05	1.23E-05	-15316208.59	-15316217.79	-15316208.01	-15316217.21	1	-1.966145199	-2.382634519	-1.973251349	-0.930147423	0.106111378	-1.160323788	0.266403882	-0.121445062	0.10801017	0.261719221	-1.180843283	0.102497743	-1.33916597	0.255257095	-0.178695094	0.099378435	0.231468289	1.292843971	0.112683034	-1.229203137	0.258292723	-0.13043653	0.110764729	0.290163838
157	2020/5/2T16:44:31.3	25.6375	34.4577	5	4.8	HT	ALN	26.046	40.885	110	714.2950774	60	60	60	1.11E-05	1.50E-06	-15302210.11	-15302219.31	-15302234.48	-15302243.68	1	-0.966190629	-1.18416101	-2.132988022	-0.245896595	0.11412002	-1.160323788	0.266403882	-0.121445062	0.10801017	0.577422963	-0.194919121	0.110326472	-1.33916597	0.255257095	-0.178695094	0.099378435	0.444017637	0.940341723	0.12013804	-1.229203137	0.258292723	-0.13043653	0.110764729	0.482929412
196	2020/5/18T23:22:37.2	25.5762	34.3066	7	5.2	HT	ALN	26.046	40.885	110	731.3399283	60	60	60	1.30E-05	2.32E-06	-13895917.6	-13895926.8	-13895917.92	-13895927.12	1	-1.451018851	-1.714586688	-2.14974759	-0.826509415	0.104603435	-1.160323788	0.266403882	-0.121445062	0.10801017	0.673207561	-0.81379422	0.101050847	-1.33916597	0.255257095	-0.178695094	0.099378435	0.532467057	0.823476381	0.11129827	-1.229203137	0.258292723	-0.13043653	0.110764729	0.583035187
436	2020/9/18T16:28:18.6	25.2933	34.9338	52	5.3	HT	ALN	26.046	40.885	110	665.8954618	60	60	60	2.56E-05	5.71E-06	-3293581.82	-3293591.022	-3293607.91	-3293617.112	1	-1.536717751	-1.70827165	-2.068013095	-0.273046508	0.11201441	-1.160323788	0.266403882	-0.121445062	0.10801017	0.034045754	-0.229920928	0.108296396	-1.33916597	0.255257095	-0.178695094	0.099378435	-0.045091197	1.498907075	0.118139703	-1.229203137	0.258292723	-0.13043653	0.110764729	-0.010661012
476	2020/10/12T0:30:41.2	26.293	35.6314	21	5.1	HT	ALN	26.046	40.885	110	583.9392433	60	60	60	1.31E-05	1.25E-06	-1277466.44	-1277475.642	-1277466.23	-1277475.432	1	-2.602993557	-2.586630715	-3.235676667	-0.868885145	0.104558228	-1.160323788	0.266403882	-0.121445062	0.10801017	-0.436391415	-0.718689592	0.101010256	-1.33916597	0.255257095	-0.178695094	0.099378435	-0.434681597	0.762958612	0.111240824	-1.229203137	0.258292723	-0.13043653	0.110764729	-0.442376121
481	2020/10/12T4:11:27.9	26.2926	35.6319	8	5.2	HT	ALN	26.046	40.885	110	583.5571676	60	60	60	1.91E-05	1.65E-06	-1264222.99	-1264232.192	-1264227.9	-1264237.102	1	-2.406343848	-2.416076979	-2.94440224	-0.610439738	0.103953817	-1.160323788	0.266403882	-0.121445062	0.10801017	-0.498187113	-0.500548741	0.100412146	-1.33916597	0.255257095	-0.178695094	0.099378435	-0.482268713	1.103181701	0.110680821	-1.229203137	0.258292723	-0.13043653	0.110764729	-0.491324783
127	2020/4/11T10:22:55.6	26.1795	35.2176	21	4.8	HP	AMPL	21.2135	38.9224	260	603.5773087	60	60	60	9.41E-05	4.98E-06	-17139540.64	-17139549.84	-17139522.01	-17139531.21	1	0.257414271	0.138422493	-0.64746216	-0.225334057	0.110173683	0.594401418	0.20106629	-0.121445062	0.10801017	0.02574012	-0.112820926	0.106491447	0.355078538	0.19215071	-0.178695094	0.099378435	-0.009741563	1.008544521	0.116456224	0.664873954	0.194702006	-0.13043653	0.110764729	0.006175386
150	2020/5/2T12:51:9.2	25.6915	34.4366	9	6	HP	AMPL	21.2135	38.9224	260	638.6308388	60	60	60	0.000384474	4.22E-05	-15316239.44	-15316248.64	-15316249	-15316258.2	1	-0.207516113	-0.614546774	-0.021558173	-0.930147423	0.106111378	0.594401418	0.20106629	-0.121445062	0.10801017	0.265623102	-1.180843283	0.102497743	0.355078538	0.19215071	-0.178695094	0.099378435	0.305311526	1.292843971	0.112683034	0.664873954	0.194702006	-0.13043653	0.110764729	0.347779923
